rk,player,pos,g,xpm,xpa,xp_percent,fgm,fga,fg_percent,pts,pnt,yds,y_p,awards,Team,Year
2,Cole Becker,K,10,28,28,100.0,15,18,83.3,73,0,0,,,utah,2023
3,Joey Cheek,K,3,7,7,100.0,1,2,50.0,10,0,0,,,utah,2023
1,Harrison Smith,P,12,0,0,,0,0,,0,73,3111,42.6,,vanderbilt,2021
2,Joseph Bulovas,K,12,15,15,100.0,14,19,73.7,57,0,0,,,vanderbilt,2021
1,Joseph Bulovas,K,12,35,35,100.0,7,12,58.3,56,0,0,,,vanderbilt,2022
2,Matt Hayball,P,12,0,0,,0,0,,0,58,2634,45.4,,vanderbilt,2022
3,Will Faris,K,2,1,1,100.0,0,0,,1,0,0,,,vanderbilt,2022
1,Jacob Borcila,K,12,29,30,96.7,7,10,70.0,50,0,0,,,vanderbilt,2023
2,Matt Hayball,P,12,0,0,,0,0,,0,57,2713,47.6,,vanderbilt,2023
1,John Parker Romo,K,13,34,34,100.0,18,22,81.8,88,0,0,,,virginia-tech,2021
2,Peter Moore,P,13,0,0,,0,0,,0,65,2892,44.5,,virginia-tech,2021
1,Peter Moore,P,11,0,0,,0,0,,0,73,3042,41.7,,virginia-tech,2022
2,William Ross,K,9,20,22,90.9,8,10,80.0,44,0,0,,,virginia-tech,2022
3,John Love,K,2,3,3,100.0,1,2,50.0,6,0,0,,,virginia-tech,2022
1,John Love,K,13,44,44,100.0,22,24,91.7,110,0,0,,,virginia-tech,2023
2,Peter Moore,P,13,0,0,,0,0,,0,60,2588,43.1,,virginia-tech,2023
1,Jacob Finn,P,12,0,0,,0,0,,0,41,1812,44.2,,virginia,2021
2,Brendan Farrell,P,9,34,34,100.0,11,13,84.6,67,0,0,,,virginia,2021
3,Justin Duenkel,K,6,16,16,100.0,4,6,66.7,28,0,0,,,virginia,2021
1,Brendan Farrell,P,10,5,6,83.3,4,8,50.0,17,3,90,30.0,,virginia,2022
2,Brennan Armstrong,QB,10,0,0,,0,0,,0,2,58,29.0,,virginia,2022
3,Daniel Sparks,P,10,0,0,,0,0,,0,46,2113,45.9,,virginia,2022
4,Will Bettridge,K,7,12,14,85.7,7,10,70.0,33,0,0,,,virginia,2022
1,Daniel Sparks,P,12,0,0,,0,0,,0,64,2746,42.9,,virginia,2023
2,Will Bettridge,K,12,31,31,100.0,18,21,85.7,85,0,0,,,virginia,2023
1,Ivan Mora,PK,14,0,0,,0,0,,0,50,2188,43.8,,wake-forest,2021
2,Nick Sciba,K,14,65,65,100.0,23,25,92.0,134,0,0,,,wake-forest,2021
3,Zach Murphy,PK,14,0,0,,0,0,,0,2,88,44.0,,wake-forest,2021
1,Matthew Dennis,K,13,56,57,98.2,12,14,85.7,92,4,120,30.0,,wake-forest,2022
2,Zach Murphy,P,13,3,3,100.0,0,0,,3,6,238,39.7,,wake-forest,2022
3,Ivan Mora,P,12,0,0,,0,0,,0,40,1630,40.8,,wake-forest,2022
1,Ivan Mora,P,12,0,0,,0,0,,0,58,2410,41.6,,wake-forest,2023
2,Matthew Dennis,K,11,20,21,95.2,14,20,70.0,62,0,0,,,wake-forest,2023
3,Tyler Black,P,11,2,2,100.0,1,2,50.0,5,0,0,,,wake-forest,2023
1,Dean Janikowski,K,13,42,44,95.5,14,17,82.4,84,0,0,,,washington-state,2021
2,Nick Haberer,P,13,0,0,,0,0,,0,52,2225,42.8,,washington-state,2021
3,Jayden De Laura,QB,12,0,0,,0,0,,0,1,28,28.0,,washington-state,2021
4,Andrew Boyle,K,3,0,0,,0,1,0.0,0,2,89,44.5,,washington-state,2021
1,Nick Haberer,P,13,0,0,,0,0,,0,59,2502,42.4,,washington-state,2022
2,Dean Janikowski,K,12,40,41,97.6,11,14,78.6,73,0,0,,,washington-state,2022
1,Dean Janikowski,K,12,44,44,100.0,10,15,66.7,74,0,0,,,washington-state,2023
