"rk","player","pos","g","xpm","xpa","xp_percent","fgm","fga","fg_percent","pts","pnt","yds","y_p","awards","Team","Year"
"1","Atticus Sappington","K","12","49","50","98.0","13","14","92.9","88","0","0","","","oregon-state","2023"
"2","D.J. Uiagalelei","QB","12","0","0","","0","0","","0","2","70","35.0","","oregon-state","2023"
"3","Josh Green","P","12","0","0","","0","0","","0","32","1343","42.0","","oregon-state","2023"
"4","AJ Winsor","P","1","0","0","","0","0","","0","4","184","46.0","","oregon-state","2023"
