"rk","player","pos","g","xpm","xpa","xp_percent","fgm","fga","fg_percent","pts","pnt","yds","y_p","awards","Team","Year"
"1","William Przystup","P","12","0","0","","0","0","","0","31","1345","43.4","","nebraska","2021"
"2","Connor Culp","PK","9","28","32","87.5","6","12","50.0","46","0","0","","","nebraska","2021"
"3","Daniel Cerni","P","5","0","0","","0","0","","0","16","590","36.9","","nebraska","2021"
"4","Chase Contreraz","PK","4","11","11","100.0","2","4","50.0","17","0","0","","","nebraska","2021"
