"rk","player","pos","g","xpm","xpa","xp_percent","fgm","fga","fg_percent","pts","pnt","yds","y_p","awards","Team","Year"
"1","Connor Weselman","P","12","0","0","","0","0","","0","22","928","42.2","","stanford","2023"
"2","Joshua Karty","K","12","21","21","100.0","23","27","85.2","90","0","0","","","stanford","2023"
"3","Aidan Flintoft","P","10","0","0","","0","0","","0","30","1278","42.6","","stanford","2023"
"4","Emmet Kenney","K","1","1","1","100.0","0","0","","1","0","0","","","stanford","2023"
