"rk","player","pos","g","xpm","xpa","xp_percent","fgm","fga","fg_percent","pts","pnt","yds","y_p","awards","Team","Year"
"1","Drake Maye","QB","12","0","0","","0","0","","0","2","81","40.5","","north-carolina","2023"
"2","Cole Maynard","P","11","0","0","","0","0","","0","1","39","39.0","","north-carolina","2023"
"3","Noah Burnette","K","11","43","43","100.0","19","20","95.0","100","0","0","","","north-carolina","2023"
"4","Tom Maginness","P","8","0","0","","0","0","","0","33","1313","39.8","","north-carolina","2023"
"5","Ben Kiernan","P","5","0","0","","0","0","","0","9","371","41.2","","north-carolina","2023"
"6","Ryan Coe","K","2","8","8","100.0","3","4","75.0","17","0","0","","","north-carolina","2023"
